Start,End,Character,Original Text,Translation,Machine Translations
"00:00:02,000","00:00:05,400",,"It's 5.00 am. and our five quarter
finalists are on their way.",,
"00:00:05,400","00:00:08,080",,"Today, they face two
terrifying challenges.",,
"00:00:08,080","00:00:12,320",,"At the end of today, four will
remain prisoner of the competition",,
"00:00:12,320","00:00:14,280",,and one shall be released.,,
"00:00:15,840","00:00:19,520",,"Tonight, the stylists face
a professional challenge that will",,
"00:00:19,520","00:00:23,600",,"put their knowledge of historical
hairstyling to the ultimate test.",,
"00:00:23,600","00:00:26,160",,"I kind of feel like there's going
to be a bit of a twist today.",,
"00:00:26,160","00:00:28,560",,"There may be a twist,
but they're really called curls,",,
"00:00:28,560","00:00:32,000",,"as they work backstage
at the world-famous London Dungeon.",,
"00:00:32,000","00:00:33,720",,"I'm not only scared,",,
"00:00:33,720","00:00:36,640",,"I'm so excited, because you
have reached new heights.",,
"00:00:36,640","00:00:40,040",,"It's a race against time to give
the infamous characters theatrical",,
"00:00:40,040","00:00:42,320",,and terrifying hairstyles.,,
"00:00:42,320","00:00:46,880",,"And make sure it's sturdy, because
these actors are very hands on.",,
"00:00:46,880","00:00:48,640",,SCREAMING,,
"00:00:48,640","00:00:52,240",,"And there's an opportunity to design
a historically -accurate hairdo",,
"00:00:52,240","00:00:56,800",,"for a brand-new Dungeon character,
who will feature nationwide.",,
"00:00:56,800","00:01:00,560",,"This is your shot
to get an actual job.",,
"00:01:00,560","00:01:04,280",,"But only those who impressed
yesterday will make it through.",,
"00:01:04,280","00:01:06,920",,"<font color=""#00ffff"">Sprinkling some fairy dust?
</font>Hell, yeah.",,
"00:01:06,920","00:01:09,840",,"Bridal specialist Maryia
out-fantasised nearly everyone",,
"00:01:09,840","00:01:11,640",,with her fantasy freestyle style...,,
"00:01:11,640","00:01:13,240",,Absolutely stunning.,,
"00:01:13,240","00:01:14,800",,"Very, very precise work.",,
"00:01:14,800","00:01:15,920",,..and came second.,,
"00:01:15,920","00:01:16,960",,Maria!,,
"00:01:17,960","00:01:21,120",,"But it was ex-banker Marlene's
bumper antler horns that got",,
"00:01:21,120","00:01:22,600",,the top spot.,,
"00:01:22,600","00:01:26,200",,"This is what we're looking for,
it's wonderful. <font color=""#00ffff"">Thank you.</font>",,
"00:01:26,200","00:01:27,520",,But mum of three Rebecca,,
"00:01:27,520","00:01:32,520",,"and trainee Meggan's future in the
competition hangs in the balance.",,
"00:01:32,520","00:01:34,760",,I thought I was probably third.,,
"00:01:34,760","00:01:36,760",,"And one of them
won't be in the Dungeon tonight.",,
"00:01:36,760","00:01:37,920",,They'll be on the bus.,,
"00:01:37,920","00:01:40,360",,"To go home now
would be just devastating.",,
"00:01:41,840","00:01:43,000",,"Oh, my God.",,
"00:01:48,160","00:01:50,640",,"In yesterday's freestyle round,
mum of three Rebecca",,
"00:01:50,640","00:01:54,440",,"made horns like a bicycle -
not what the judges were after.",,
"00:01:54,440","00:01:56,520",,I feel a little bit disjointed.,,
"00:01:56,520","00:01:58,480",,"They look like they've
just been stuck on top.",,
"00:01:58,480","00:02:00,920",,"And she found herself
in a curly eliminator.",,
"00:02:00,920","00:02:03,880",,"As soon as I started curling the hair
it just didn't curl from the root.",,
"00:02:03,880","00:02:08,040",,"21-year-old Meggan went small,
but Alain wants big - or 'grand',",,
"00:02:08,040","00:02:09,840",,as he calls it back home.,,
"00:02:09,840","00:02:12,720",,"It's a little small, you know.
Your proportions are not working.",,
